Order ID,Order Date,Customer Name,Category,Product,Region,Quantity,Sales,Profit
ORD100944,2025-01-01,Customer_0119,Clothing,T-Shirt,East,3,2783.0,589.3
ORD100783,2025-01-02,Customer_0065,Electronics,Laptop,East,4,194250.97,21523.76
ORD100046,2025-01-02,Customer_0183,Furniture,Desk,West,4,46589.19,8870.75
ORD100550,2025-01-03,Customer_0179,Clothing,Jacket,East,4,12782.87,2678.38
ORD100604,2025-01-03,Customer_0035,Electronics,Tablet,North,4,85945.87,14108.29
ORD100530,2025-01-03,Customer_0308,Clothing,Jacket,North,5,14154.29,3529.76
ORD100194,2025-01-03,Customer_0494,Furniture,Sofa,North,3,70417.33,14051.2
ORD100950,2025-01-04,Customer_0092,Furniture,Bookshelf,West,3,22922.6,4061.05
ORD100601,2025-01-04,Customer_0194,Electronics,Smartphone,South,4,125873.26,11195.6
ORD100154,2025-01-05,Customer_0189,Furniture,Office Chair,North,4,37707.5,7436.02
ORD100203,2025-01-05,Customer_0108,Electronics,Monitor,East,7,107656.1,7743.8
ORD100304,2025-01-05,Customer_0408,Furniture,Table,North,3,31658.83,6846.87
ORD100782,2025-01-05,Customer_0121,Furniture,Sofa,South,4,90404.76,14032.91
ORD100735,2025-01-07,Customer_0335,Electronics,Laptop,West,6,317858.95,21485.99
ORD100254,2025-01-07,Customer_0423,Electronics,Monitor,South,7,101089.63,11772.41
ORD100340,2025-01-07,Customer_0417,Electronics,Laptop,North,7,423186.93,38568.65
ORD100862,2025-01-08,Customer_0100,Furniture,Table,West,7,75220.78,14791.25
ORD100438,2025-01-08,Customer_0165,Clothing,Jeans,East,2,3154.81,767.16
ORD100416,2025-01-08,Customer_0124,Furniture,Sofa,South,7,195820.17,33379.69
ORD100839,2025-01-08,Customer_0298,Furniture,Office Chair,North,6,51437.95,8402.24
ORD100076,2025-01-09,Customer_0216,Furniture,Sofa,East,1,27343.55,4357.3
ORD100556,2025-01-10,Customer_0435,Furniture,Bookshelf,South,4,28410.84,6924.26
ORD100474,2025-01-10,Customer_0111,Clothing,T-Shirt,West,5,4247.01,1183.68
ORD100078,2025-01-10,Customer_0065,Electronics,Monitor,East,2,26368.25,3230.9
ORD100397,2025-01-10,Customer_0430,Clothing,T-Shirt,West,2,1671.12,347.13
ORD100113,2025-01-11,Customer_0342,Clothing,Jeans,South,1,1874.4,405.1
ORD100473,2025-01-11,Customer_0397,Electronics,Laptop,East,5,296450.46,44463.0
ORD100191,2025-01-12,Customer_0397,Electronics,Headphones,South,1,3569.14,527.96
ORD100568,2025-01-12,Customer_0337,Furniture,Desk,South,3,38127.86,5421.99
ORD100285,2025-01-12,Customer_0258,Furniture,Table,South,5,56896.87,8986.81
ORD100872,2025-01-12,Customer_0470,Electronics,Laptop,South,7,408940.71,47297.78
ORD100241,2025-01-12,Customer_0485,Clothing,Shoes,North,6,16442.19,4054.37
ORD100006,2025-01-12,Customer_0275,Electronics,Monitor,East,6,72670.5,8059.67
ORD100562,2025-01-13,Customer_0163,Electronics,Headphones,West,7,26916.01,3968.5
ORD100357,2025-01-13,Customer_0202,Electronics,Tablet,South,3,64333.21,8384.86
ORD100343,2025-01-14,Customer_0290,Electronics,Tablet,North,4,85615.36,8486.02
ORD100255,2025-01-14,Customer_0258,Electronics,Laptop,West,4,201552.18,19964.69
ORD100570,2025-01-14,Customer_0369,Electronics,Tablet,North,4,98012.98,12434.75
